Program ISN,Program #,Task,Name,Type
30,,".1.2","Queue overzicht","Sort"
37,,".1.1.1.35.1","accounts","Sort"
37,,".1.1.1.5.3.2","XML Cash Account","Sort"
37,,".1.1.1.5.7.2","XML Cash Account","Sort"
37,,".1.1.1.10.3.1.1.1","XML periodicalPaymentInstruction","Sort"
35,,".1.1.1.1.2.1.1","Currentposition","Sort"
42,,".1","SendProcessOutput","Sort"
44,,".2","Display XML queue","Sort"
101711972,,".2","XML messages","Sort"
101711972,,".2.3","Process Selection","Sort"
672137318,,".1.1.1.10.3.1.1.1","XML periodicalPaymentInstruction","Sort"
672137318,,".1.1.1.35.1","accounts","Sort"
672137318,,".1.1.1.5.3.2","XML Cash Account","Sort"
672137318,,".1.1.1.5.6.2","XML Cash Account","Sort"
