Program ISN,﻿Program #,Task,Name,Operation #,Variable,Range Min,Range Max
23,,".1","Posities doorlopen",31,"[l_Relatie_geselecteerd?] ","CndRange (BCI=1,'TRUE'LOG)","CndRange (BCI=1,'TRUE'LOG)"
23,,".1","Posities doorlopen",45,"[l_Rekening_binnen_product?] ","'TRUE'LOG","'TRUE'LOG"
23,,".1","Posities doorlopen",64,"[l_Product zonder BG, met RV?] ","'TRUE'LOG","'TRUE'LOG"
23,,".1","Posities doorlopen",71,"[l_Beleggingsprofiel_in_range?] ","'TRUE'LOG","'TRUE'LOG"
23,,".1","Posities doorlopen",80,"[l_Modelportefeuille_in_range?] ","IF (BCV=0 AND BCW=999999999,'FALSE'LOG,'TRUE'LOG)","'TRUE'LOG"
24,,".1","Positie verkoop doorlopen",33,"[l_Relatie_geselecteerd?] ","CndRange (BCL=1,'TRUE'LOG)","CndRange (BCL=1,'TRUE'LOG)"
24,,".1","Positie verkoop doorlopen",81,"[l_Beleggingsprofiel_in_range?] ","IF (BCW=0 AND BCX=999999999,'FALSE'LOG,'TRUE'LOG)","'TRUE'LOG"
24,,".1","Positie verkoop doorlopen",90,"[l_Modelportefeuille_in_range?] ","IF (BCY=0 AND BCZ=999999999,'FALSE'LOG,'TRUE'LOG)","'TRUE'LOG"
29,,".2","Online gedeelteH",52,"[v_Filter-Autoriseren] ","CndRange (BEX=3,'TRUE'LOG)","CndRange (BEX=3,'TRUE'LOG)"
29,,".2","Online gedeelteH",53,"[v_Filter-Fiatteren] ","CndRange(BEY=3,'TRUE'LOG)","CndRange(BEY=3,'TRUE'LOG)"
29,,".2","Online gedeelteH",54,"[v_Filter-Verwijderen] ","CndRange(BEZ=3,'TRUE'LOG)","CndRange(BEZ=3,'TRUE'LOG)"
29,,".2","Online gedeelteH",55,"[v_Filter-Print] ","CndRange(BFB=3,'TRUE'LOG)","CndRange(BFB=3,'TRUE'LOG)"
29,,".2","Online gedeelteH",70,"[l_InternetUser?] ","CndRange (BEX=3,'TRUE'LOG)","CndRange (BEX=3,'TRUE'LOG)"
