Program ISN,﻿Program #,Task,Name,Type
23,,".1.1","Transaction taak","Sort"
23,,".1","Posities doorlopen","Sort"
29,,".2.4","Fiat Buttons","Sort"
29,,".2.2.1","Online gedeelteD","Sort"
37,,".5.4.1","Bepaal langsttoegest orderduur","Sort"
39,,".3.3","Unlock Orders","Sort"
39,,".3.1","Lock Orders","Sort"
47,,".1","Printen","Sort"
63,,".1.3.2","Toon fondsen (Bedragen)","Range : BQH<>0"
63,,".1.3.3","Toon fondsen (Aantallen)","Range : BQH<>0"
63,,".1.3.4","Fondsselectie (Bedragen)","Range : BQX<>0"
63,,".1.3.6","Fondsselectie (Aantallen)","Range : BQX<>0"
63,,".1.4.2","Toon fondsen","Sort"
63,,".1.4.2","Toon fondsen","Range : K/V.MTW_SOORT='V' AND BLJ<>0 OR K/V.MTW_SOORT='K' AND BMT='K' AND BMR<>0"
63,,".1.4.3","Fondsselectie","Range : BKU='V' AND BLK<>0 OR BKU='K'"
63,,".1.4.3","Fondsselectie","Sort"
63,,".1.4.5","Herbereken fondsen","Sort"
92,,".3.2","Toon fondsen","Sort"
92,,".2.2","Toon fondsen (Bedragen)","Range : BHS<>0"
92,,".2.3","Toon fondsen (Aantallen)","Range : BHS<>0"
92,,".3.3.1","Vul Werkbestand posities","Range : BGD<>0"
92,,".3.2","Toon fondsen","Range : MTW_SOORT_K/V='V' AND BGC<>0 OR MTW_SOORT_K/V='K' AND HBOD_TRANSACTIESOORT='K' AND HBOD_PERCENTAGE<>0"
150,,".1","Printen","Sort"
158,,".1.1.3.1.6","Geld Onttrekken Grootste fonds","Sort"
158,,".1.1.3.1.6","Geld Onttrekken Grootste fonds","Range : Val (MID (MRD_VOLGORDE,1,4),'4')<>v_Asset_Instelling_Liquide mid. AND F_Huidige_waarde_ex_blokkade>0"
158,,".1.1.3.1.8.1","Corrigeer Afrondings verschil","Range : ABS (MRD_NOTA_BEDRAG_REK_VAL)>ABS (v_Verschil Invest/Onttrok (RV))"
158,,".1.1.3.1.2","Modelportefeuile kopiëren_OUD","Sort"
165,,".1.1.7","Genereren Geldbatch / bet.ber.","Sort"
177,,".1.1.10","Bepaal afrondingsverschil","Range : MRD_NIVEAU=1 OR (MRD_NIVEAU=3 AND MRD_TRANSACTIESOORT<>'' AND MRD_EFFECTIEF_BEDRAG<>0)"
