Program ISN,Type,Task,Table #,Pos #,Duplicate name,Duplicate scope
31,Variable,"28.5 Haal duration",,1,"v_Duration","Program"
32,Variable,"29.2.1 Refresh Detail - Niveau 2",,3,"v_HuidigeWaarde","Program"
32,Variable,"29.2.1.1 Haal gegevens Niveau 3",,1,"pi-_Volgorde","Program"
32,Variable,"29.2.1.1 Haal gegevens Niveau 3",,2,"p-o_HuidigeWaarde","Program"
99,Variable,"87.4.2.2 Verzendclienten",,2,"v_$REKENINGNUMMER$","Program"
99,Variable,"87.4.2.2 Verzendclienten",,3,"v_$NAAMREKENING$","Program"
99,Variable,"87.4.2.2 Verzendclienten",,4,"v_$SYSTEEMDATUM$","Program"
99,Variable,"87.4.2.2 Verzendclienten",,5,"v_$AANHEF$","Program"
99,Variable,"87.4.2.2 Verzendclienten",,6,"v_$VOORLETTERS$","Program"
99,Variable,"87.4.2.2 Verzendclienten",,7,"v_$TUSSENVOEGSEL$","Program"
99,Variable,"87.4.2.2 Verzendclienten",,8,"v_$ACHTERNAAM$","Program"
175,Variable,"148.2 Fonds-positie op toets datum",,1,"l_Rekening binnen product?","Program"
224,Variable,"195.3 Bepaal Duration",,1,"pi-_Fondssymbool","Program"
332,Variable,"260 SUB CHK Advies aanwezig",,5,"s_Nw_Advies_Methode_Gebruiken?","Global"
386,Variable,"325.3 getLineReferences",,1,"pi-_WM_ORDER_ID","Program"
134218237,Variable,"273.2 Verwerken",,1,"s_Nw_Advies_Methode_Gebruiken?","Global"
1716519460,Variable,"432.1.1.5 Delete data",,1,"pi-_WM_OrderID","Program"
1879048660,Variable,"295.2.1 addModelDetails",,1,"v_XML_Path","Program"
