Program ISN,﻿Program #,Task,Name,Task Level,Operation #,Call Task/Prg,Arg #,Variable
50,,"","KAL-Aut. omwisseling cl/stocks","Record Suffix",32,P# 193,14,"EK"
53,,".1","Doorlopen Posities","Record Suffix",40,P# 53,105,"DL"
53,,".1","Doorlopen Posities","Record Suffix",40,P# 53,106,"HS"
53,,".1","Doorlopen Posities","Record Suffix",40,P# 53,112,"FB"
53,,".1","Doorlopen Posities","Record Suffix",40,P# 53,113,"FC"
53,,".1","Doorlopen Posities","Record Suffix",40,P# 53,114,"FD"
53,,".1","Doorlopen Posities","Record Suffix",40,P# 53,115,"HW"
53,,".1","Doorlopen Posities","Record Suffix",40,P# 53,116,"HX"
53,,".1","Doorlopen Posities","Record Suffix",40,P# 53,117,"HY"
53,,".1","Doorlopen Posities","Record Suffix",40,P# 53,118,"HZ"
53,,".1","Doorlopen Posities","Record Suffix",40,P# 53,119,"IA"
53,,".1","Doorlopen Posities","Record Suffix",40,P# 53,34,"FU"
53,,".1","Doorlopen Posities","Record Suffix",40,P# 53,35,"FV"
53,,".1","Doorlopen Posities","Record Suffix",40,P# 53,36,"FW"
53,,".1","Doorlopen Posities","Record Suffix",40,P# 53,37,"GD"
53,,".1","Doorlopen Posities","Record Suffix",40,P# 53,38,"GE"
53,,".1","Doorlopen Posities","Record Suffix",40,P# 53,39,"GF"
53,,".1","Doorlopen Posities","Record Suffix",40,P# 53,40,"GG"
53,,".1","Doorlopen Posities","Record Suffix",40,P# 53,41,"GH"
53,,".1","Doorlopen Posities","Record Suffix",40,P# 53,82,"ED"
53,,".1","Doorlopen Posities","Record Suffix",40,P# 53,83,"EE"
53,,".1","Doorlopen Posities","Record Suffix",40,P# 53,84,"EF"
53,,".1","Doorlopen Posities","Record Suffix",40,P# 53,85,"EG"
53,,".1","Doorlopen Posities","Record Suffix",40,P# 53,86,"EH"
53,,".1","Doorlopen Posities","Record Suffix",40,P# 53,87,"EI"
53,,".1","Doorlopen Posities","Record Suffix",40,P# 53,88,"EJ"
53,,".1","Doorlopen Posities","Record Suffix",40,P# 53,89,"EK"
53,,".1","Doorlopen Posities","Record Suffix",40,P# 53,90,"EL"
53,,".1","Doorlopen Posities","Record Suffix",40,P# 53,91,"EM"
53,,".1","Doorlopen Posities","Record Suffix",40,P# 53,92,"EN"
53,,".1","Doorlopen Posities","Record Suffix",40,P# 53,93,"EQ"
81,,".4","process","Record Suffix",26,T# 2,2,"DJ"
81,,".4","process","Record Suffix",22,T# 2,2,"DE"
83,,".1.1","Print Header","Record Suffix",17,T# 1,11,"FW"
119,,"","STAM_Produktconversie","Event : E2.EC-Zoom",60,P# 193,1,"v_Fonds"
127,,"","INV-Produktconversie Nieuw","Event : b_Uitvoeren",178,P# 412,6,"v_Relatienummer vanaf"
127,,"","INV-Produktconversie Nieuw","Event : b_Uitvoeren",178,P# 412,7,"v_Relatienummer t/m"
127,,"","INV-Produktconversie Nieuw","Event : E2.EC-Zoom",22,P# 193,1,"v_Fonds"
128,,".1","Controle ingevoerde gegevens","Event : Uitvoeren",42,P# 412,6,"CAPC_REL_FROM"
128,,".1","Controle ingevoerde gegevens","Event : Uitvoeren",42,P# 412,7,"CAPC_REL_TO"
231,,".1","Posities","Record Suffix",69,P# 53,105,"HV"
231,,".1","Posities","Record Suffix",69,P# 53,106,"IA"
231,,".1","Posities","Record Suffix",69,P# 53,114,"ID"
231,,".1","Posities","Record Suffix",69,P# 53,116,"JB"
231,,".1","Posities","Record Suffix",69,P# 53,119,"JG"
231,,".1","Posities","Record Suffix",69,P# 53,41,"EP"
231,,".1","Posities","Record Suffix",69,P# 53,112,"IB"
