Program ISN,Program #,Task,Name,Expr #,Expression
72,,"","STAM- Onderhoud Equens betopd",36,"IF (ZU<>'',ZU,Fill ('Z',Len (ZV)))"
98,,"","UTIL-Aanmaken IGS-rekeningen",20,"NOT (YQ) AND YV<>Fill ('9',Len (YV)) AND YV<>Fill ('Z',Len (YV))"
111,,"","RAPS-Periodieke betalingen",11,"IF (v_Adviseur_vanaf='',Fill ('Z',Len (v_Adviseur_t/m)),v_Adviseur_vanaf)"
144,,"","Verwerken MT103",5,"Len (v_Ben.Cust.Account)>=13"
145,,".2.2.1.1","Bepaal REKnrs uit IBAN",28,"Left (BGQ,400-Len (MID (BGQ,InStr (Upper (BGQ),'IBAN:'),400)))"
149,,".1.1","Stortingen",25,"Trim (v_Tooltip bij foutcodes)&IF (LoopCounter ()>1,ASCIIChr (10)&ASCIIChr (13),'')&ExpCalc ('11'EXP)&Fill (' ',4-Len (ExpCalc ('11'EXP)))&ExpCalc ('12'EXP)"
171,,"","INV-BGS Rapportage BETV",78,"IF (v_Relatie_vanaf=v_Relatie_t/m,BER,Fill ('Z',Len (v_Rekeningnr t/m)))"
171,,"","INV-BGS Rapportage BETV",82,"IF (v_Relatie_vanaf=v_Relatie_t/m,IF (v_Rekeningnr t/m<>BER,RE_MUNTSOORT_Zoek_t/m,BET),Fill ('Z',Len (v_Rekening munt t/m)))"
194,,"","RAPP-Instelling per bestemming",11,"IF (v_Rekening vanaf<>'',v_Rekening vanaf,Fill ('Z',Len (v_Rekening t/m)))"
194,,"","RAPP-Instelling per bestemming",24,"IF (Trim (v_Muntsoort_vanaf)='',Fill ('Z',Len (v_Muntsoort_tm)),v_Muntsoort_vanaf)"
194,,"","RAPP-Instelling per bestemming",28,"IF (v_BIC bestemming_vanaf<>'',v_BIC bestemming_vanaf,Fill ('Z',Len (v_BIC bestemming_vanaf)))"
198,,"","INV-Aanmaken MT940 XML",11,"IF (YO<>'',YO,Fill ('Z',Len (YR)))"
198,,"","INV-Aanmaken MT940 XML",24,"IF (Trim (ZF)='',Fill ('Z',Len (ZI)),ZF)"
198,,"","INV-Aanmaken MT940 XML",28,"IF (ZM<>'',ZM,Fill ('Z',Len (ZM)))"
251,,".1","Initieer Selectie Vars",15,"IF (v_Selectie_Reset?,Fill ('Z',Len (v_D_BIC_T/m)),v_D_BIC_T/m)"
251,,".1","Initieer Selectie Vars",17,"IF (v_Selectie_Reset?,Fill ('Z',Len (v_D_IBAN_T/m)),v_D_IBAN_T/m)"
251,,".1","Initieer Selectie Vars",21,"IF (v_Selectie_Reset?,Fill ('Z',Len (v_D_Muntsoort_T/m)),v_D_Muntsoort_T/m)"
251,,".1","Initieer Selectie Vars",23,"IF (v_Selectie_Reset?,Fill ('Z',Len (v_C_IBAN_T/m)),v_C_IBAN_T/m)"
251,,".1","Initieer Selectie Vars",27,"IF (v_Selectie_Reset?,Fill ('Z',Len (v_C_Muntsoort_T/m)),v_C_Muntsoort_T/m)"
251,,".1","Initieer Selectie Vars",29,"IF (v_Selectie_Reset?,Fill ('Z',Len (v_EtE_Referentie_T/m)),v_EtE_Referentie_T/m)"
251,,".1","Initieer Selectie Vars",31,"IF (v_Selectie_Reset?,Fill ('Z',Len (v_TransactionId_T/m)),v_TransactionId_T/m)"
251,,".1","Initieer Selectie Vars",33,"IF (v_Selectie_Reset?,Fill ('Z',Len (v_Purpose_T/m)),v_Purpose_T/m)"
251,,".1","Initieer Selectie Vars",35,"IF (v_Selectie_Reset?,Fill ('Z',Len (v_Operation_T/m)),v_Operation_T/m)"
251,,".1","Initieer Selectie Vars",8,"IF (v_Selectie_Reset?,Fill ('Z',Len (v_Invoer_Adviseur_T/m)),v_Invoer_Adviseur_T/m)"
251,,".1.1","Selectie Scherm",110,"v_D_IBAN_T/m_Scherm<>Fill ('Z',Len (v_D_IBAN_T/m_Scherm))"
251,,".1.1","Selectie Scherm",112,"v_C_IBAN_T/m_Scherm<>Fill ('Z',Len (v_C_IBAN_T/m_Scherm))"
251,,".1.1","Selectie Scherm",14,"IF (v_D_Bank_BIC_Vanaf_Scherm<>'',v_D_Bank_BIC_Vanaf_Scherm,Fill ('Z',Len (v_D_Bank_BIC_T/m_Scherm)))"
251,,".1.1","Selectie Scherm",16,"IF (v_D_IBAN_Vanaf_Scherm<>'',v_D_IBAN_Vanaf_Scherm,Fill ('Z',Len (v_D_IBAN_T/m_Scherm)))"
251,,".1.1","Selectie Scherm",20,"IF (v_D_Muntsoort_Vanaf_Scherm<>'',v_D_Muntsoort_Vanaf_Scherm,Fill ('Z',Len (v_D_Muntsoort_T/m_Scherm)))"
