Help #,Help Name,
1,"AB002 - Queue overzicht",
4,"AB005 - Verwerken SMS",
5,"AB006 - STAM-EMAIL/SMS instel",
6,"AB007 - Template instellingen",
7,"AB010 - Instlelling XML queue",
8,"AB011 - Verwerken XML queue",
9,"AB012 - Overzicht XML queue",
10,"HELAAS - Geen Help Beschikbaar",
11,"AM003 - Monitor Sec.File",
12,"AM004 - Autorisatiegegevens",
13,"AM005 - Vervaldata Gebruikers",
14,"AM006 - Vervaldata Rechten",
15,"AM007 - Rapport Verlopen Users",
16,"AM008 - Historie AM Gegevens",
17,"AM011 - Printen per laatste L",
18,"AM012 - Rapp. Mutaties periode",
19,"AM014 - DISP-Module/Menu/Recht",
20,"AM015 - RAPP-Module/Menu/Recht",
21,"AM016 - RAPP-Toevoeging/Verwij",
22,"AM017 - OND-Security Adviseurs",
23,"AM020 - DISP-Inlog-Pogingen",
24,"AM021 - RAPP-Inlog-Pogingen",
25,"AM022 - VERW-Inlog pogingen",
26,"AM023 - INV- Vergelijkingstool",
27,"AM027 - Onderhoud Sec.File",
28,"HELAAS - Geen Help Beschikbaar",
29,"Onderhoud helpaanroep S1",
30,"Toon helpregistratie S4",
31,"Geen EUL meer beschikbaar S4",
32,"EuroPort User License Lis S5",
33,"PR-Printer keuze",
34,"POP Rel/Zoekn (CTRL+W  AP",
35,"Fonds Div. Codes (CTRL+F",
36,"Fondsidentificatie S1",
37,"Toon resultaat S2",
38,"Zoekstring S3",
39,"Toon resultaat S4",
40,"Instellingen S1",
41,"Herhalend S2",
42,"WIN-BatchServers",
43,"WIN-BatchOpdrachten",
44,"WIN-ProcesInstellingen",
45,"WIN-Externe Fondsenstaatc",
46,"WIN-Item(Kostencomp) Code",
47,"WIN-Bankgegevens",
48,"WIN-Beleggingsinstrumente",
49,"Zoek op Fondsomschrijving S1",
50,"WIN-Beleggingsinstrumentt",
51,"WIN-Beleggingsadviseurs",
52,"WIN-Beurzen",
53,"WIN-Bewaarloontabellen",
54,"WIN-BTW",
55,"WIN-Clientgroepen",
56,"WIN-Courtage",
57,"Toekenningen S1",
58,"Uitkeringen S2",
59,"WIN-Doorbelastingstabelle",
60,"WIN-Emissietypes",
61,"WIN-Futures",
62,"WIN-Belastingverdrag Groe",
63,"WIN-Grootboekrekeningen",
64,"WIN-Batches",
65,"WIN-Nachtprocedures",
66,"WIN-Instructiecodes",
67,"WIN-Instructieteksten",
68,"WIN-Geldbatches",
69,"WIN-Muntsoorten",
70,"WIN-Openstaande nota's",
71,"WIN-IGS batches",
72,"WIN-Opties",
73,"WIN-Regio's",
74,"Rekeningen- NIET VIA KOPP S1",
75,"Rekeningen- VIA KOPPELING S2",
76,"Rekeningen- PRODUCTGROEP S3",
77,"WIN-Relatiecategorieen",
78,"Nummer S1",
79,"Zoeknaam S2",
80,"Rekening S3",
81,"Clientgrp / Nummer S4",
82,"Clientgrp / Zoeknaam S5",
83,"Clientgrp / Rekening S6",
84,"LoopRelaties (Nummer) S1",
85,"LoopRelaties (Alphakey) S2",
86,3 N S3,"LoopRelatie (eig/alle=3 N S3"=,"=3 N S3",
87,3 A S4,"LoopRelatie (eig/alle=3 A S4"=,"=3 A S4",
88,"WIN-Rente afspraken",
89,"WIN-Renteafspraak",
90,"Rentestanden S1",
91,"Display marges S2",
92,"WIN-Tabelgegevens",
93,"Transactiesoorten op symb S1",
94,"Transactiesoorten op numm S2",
95,"WIN-Wegingsfactoren",
96,"WIN-Kredietgroepen",
97,"WIN-Tabelgegevens op symb",
98,"WIN-Beleggingsinstrumentc",
99,"WIN-FR coderingen",
100,"WIN-Rekeninggroepen",
101,"WIN-Schema's journaalpost",
102,"WIN-Uitgevende instelling",
103,"WIN-Landen",
104,"WIN-Printers",
105,"WIN-Rekeningsoorten",
106,"WIN-Beleggingsinstrumentt",
107,"WIN-Settlementchain",
108,"Settlement Chain S1",
109,"WIN-Relatie verwerkingsca",
110,"WIN-Afdelingen",
111,"WIN-Printgroepen",
112,"WIN-Fonds verwerkingscat.",
113,"WIN-Belastingverdrag",
114,"WIN-Ticksizetabellen",
115,"WIN-Renseigneringssoorten",
116,"WIN-Fiscale nummertypen",
117,"WIN-Werkbestand checklist",
118,"WIN-Briefcode",
119,"WIN-Stuksoorten",
120,"WIN-Adviesteams/behandela",
121,"WIN-Aflopende deposito's",
122,"WIN-Remisiers",
123,"WIN-Rente schalentabellen",
124,"WIN-Rekeningen vruchtgebr",
125,"WIN-Peildata",
126,"WIN-Belasting verdraggroe",
127,"WIN-Informatiesoorten",
128,"WIN-Producten",
129,"WIN-Producten per relatie",
130,"WIN-Formulierensoorten",
131,"WIN-Modelportefeuille",
132,"WIN-Ordertrajecten",
133,"WIN-Taalcodes",
134,"WIN-Infobronnen",
135,"WIN-DNB sectoren",
136,"WIN-Menu's",
137,"WIN-Landen (ISO-code)",
138,"WIN-Herkomstcodes",
139,"br-calc. fiatt. (online)",
140,"Geldsaldo S4",
141,"Geblokkeerd geld S6",
142,"Geblokkeerd geldbatches S8",
143,"Dekkingswaarde S9",
144,"Baisse posities S10",
145,"Geblokkeerde stukken S12",
146,"Lopende orders S16",
147,"Verzamelorders S17",
148,"Margin optie posities S18",
149,"Obligo's S21",
150,"Closing resultaat per pro S22",
151,"Closing resultaat S23",
152,"INV-Autorisatiecode",
153,"SUB-Transactie specificat",
154,"Begunstigde S2",
155,"Verklaring S4",
156,"Invoer tegenpartij gegeve S1",
157,"SUB-STAM PrimaireTabellen",
158,"SUB-DISP PrimaireTabellen",
159,"SUB-RAPP PrimaireTabellen",
160,"OND-Vertaling Tabelgegeve S1",
161,"DISP-Vertaling Tabelgegev S3",
162,"Modify/Display Relatie S1",
163,"Modify/Display Relatie (M S2",
164,"SUB-Beoordelingsfactoren S3",
165,"Create Relatie S14",
166,"STAM-Rel. SUB (Fisc.numme",
167,"STAM-Rel. SUB (Belast.ver",
168,"Display mode S1",
169,"Korting per Type Beleg.in S2",
170,"Stam_prov_kort_Modify S3",
171,"Korting per Type Beleg.in S4",
172,"Display mode S6",
173,"Korting per Type Beleg.in S7",
174,"Stam_prov_kort_Modify S8",
175,"Korting per Type Beleg.in S9",
176,"Invoer verzend clienten S1",
177,"STAM-Rel. SUB (Rekeningen",
178,"Bewaarplaatsen S6",
179,"Stukken rek. S8",
180,"Instructies S9",
181,"FiRE codering S10",
182,"Geldrekening detail S16",
183,"Onderhoud renteafspraak S17",
184,"Toekomstige renteafspraak S19",
185,"Onderhoud Rapportage FiRE S23",
186,"STAM-Rel. SUB (Servicepro",
187,"STAM-Rel. SUB (Adviseurs)",
188,"STAM-Rel. SUB (Coderingen",
189,"Invoer relatiegegevens S1",
190,"STAM-Rel. SUB (Corresp. g",
191,"Volledige aanhef S8",
192,"STAM-Rel. SUB (Settlem. g",
193,"Display mode S1",
194,"Modify mode S2",
195,"'STAM-Rel. SUB (Provisie geg.)",
196,"Modify rekening S5",
197,"STAM-Rel. SUB (Vermogensb",
198,"WIN-Kostprijsmethode S3",
199,"STAM-Rel. SUB (Relatiestr",
200,"STAM-Rel. SUB (Prof.clien",
201,"Onderhoud/Display koppeli S1",
202,"STAM-Rel. SUB (FR coderin",
203,"STAM-Rel. SUB (Producten)",
204,"STAM-Rel. SUB (NAW-Fiscus",
205,"STAM-Rel. SUBR (Vruchtgeb",
206,"Vrucht.Effectenrekeningen S1",
207,"Vrucht Deposito rekeninge S3",
208,"Vrucht Geldrekeningen S5",
209,"STAM-Rel. SUBR (Producten",
210,"cli-Transacties",
211,"Zoek transactie S1",
212,"Blokkeren_Menu S1",
213,"Blokkeren geld S2",
214,"Blokkeren stukken S5",
215,"Per fonds S6",
216,"Blokkeringen S1",
217,"cli-Fiattering",
218,"Display logicalnames S2",
219,"cli-Openstaande posten(se S1",
220,"Mutaties openstaande post S2",
221,"cli-Openstaande posten(se S3",
222,"Mutaties openstaande post S4",
223,"Transacties per Open.Post S5",
224,"Toetsing portefeuille rel S1",
225,"Toetsing portefeuille pro S4",
226,"cli-Obligo's",
227,"cli-Blokkeren posities",
228,"Depots per fonds S1",
229,"cli-Select bewaarplaats/d",
230,"Selectie product S2",
231,"Menu S2",
232,"Portefeuille overzicht Ct S3",
233,"Totaal portefeuille S5",
234,"Zoek Fonds S6",
235,"Contactdetails S7",
236,"Zoek String S8",
237,"Toon resultaat S9",
238,"Portfll overz(Product) S11",
239,"Totaal portefeuille S15",
240,"Zoek Fonds S16",
241,"Contactdetails S17",
242,"Zoek String S18",
243,"Toon resultaat S19",
244,"Depot overzicht S20",
245,"Fondsen Ctrl-Q S22",
246,"Totaal Depot S23",
247,"Display Geldrekeningen S28",
248,"transacties geldrekeninge S29",
249,"Menu spreidingsoverzichte S30",
250,"Spreidingsoverzicht S31",
251,"Selectie branche S36",
252,"Sorteer_0 Posities S44",
253,"Sorteer_0 Posities (Produ S45",
254,"Sorteer_1 Posities S47",
255,"Sorteer_1 Posities (Produ S48",
256,"Sorteer_2 Posities S50",
257,"Sorteer_2 Posities (Produ S51",
258,"Sorteer_3 Posities S53",
259,"Sorteer_3 Posities (Produ S54",
260,"Sorteer_4 Posities S56",
261,"Sorteer_4 Posities (Produ S57",
262,"Branche S59",
263,"Sorteer_4 Posities/Branch S60",
264,"Branche (Product) S61",
265,"Sorteer_4 Pos./Bran. (Pro S62",
266,"Performance overzicht S68",
267,"Historie per depot S71",
268,"Historie per periode S72",
269,"Zoek Fonds Performance Ov S73",
270,"Performance overzicht(pro S75",
271,"Historie per depot S79",
272,"Historie per periode S80",
273,"Zoek Fonds S81",
274,"Zoek String S82",
275,"Toon resultaat S83",
276,"OA/IM-Niet-gefiatt. relat",
277,"invoer uitvoeringen S1",
278,"Doorgaan? Oude ingev. ord S1",
279,"1Doorgaan? Beurs is geslo S2",
280,"1Melding: Beurs is byna g S3",
281,"2Doorgaan? Beurs is geslo S4",
282,"3Doorgaan? Beurs is geslo S5",
283,"Niet obli. direct S1",
284,"Niet obli. Aut/Hand S2",
285,"Obli's direct S3",
286,"Obli's Aut / Hand S4",
287,"OA/DD-Fintegrator details",
288,"SingleOrderNew (MsgType 1 S1",
289,"Meer info S2",
290,"SingleOrderCancReq (MsgTy S3",
291,"ExecutionReport (MsgType S4",
292,"Meer info S5",
293,"Nog Meer info S6",
294,"OrderCancelReject (MsgTyp S7",
295,"BusinessMsgReject (MsgTyp S8",
296,"OrdCancelReplReq (MsgType S9",
297,"Meer info S10",
298,"CombiOrderNew (MsgType 9) S11",
299,"Meer info S12",
300,"CombiCancelRequest (MsgTy S13",
301,"Meer info S14",
302,"CombiCancelReject (MsgTyp S15",
303,"CombiExecReport (MsgType S16",
304,"Meer info S17",
305,"CombCancelReplReq(MsgType S18",
306,"Meer info S19",
307,"TCS Declaration (MsgType S20",
308,"TCS Canc. Req (MsgType 21 S21",
309,"TCS Rejec notice (MsgType S22",
310,"OA/DD-Fintegrator bericht",
311,"Foutomschrijvingen S1",
312,"SUB-SelectieRelaties",
313,"RAPS-Positie overz. comme",
314,"MAIL-Inhoud S3",
315,"WIN-Arrangement provisies",
316,"WIN-Ratings",
317,"WIN-Index per fonds",
318,"WIN-Branches",
319,"WIN-Branchegroep",
320,"WIN-Modelportefeuilles",
321,"WIN-Beleggingsprofielen",
322,"Koers Identificaties S1",
323,"WIN Error/Warning",
324,"WIN-Verzamelrelaties",
325,"Online Login S1",
326,"TestPurposeOnly S3",
327,"Disp Geldrekeningen S1",
328,"Display transacties S2",
329,"Disp Geblokkeerd geld S3",
330,"Disp Geldbatch S5",
331,"Disp Lopende orders S6",
332,"Disp Dekkingswaarde Port S7",
333,"Niet doorgeboekte transac S8",
334,"Geblokkeerde stukken S9",
335,"Disp Baisseposities S10",
336,"Disp Margin gegevens S11",
337,"Disp Obligo S14",
338,"Closing resultaat S15",
339,"Closing resultaat Prod S16",
340,"Disp Futures S17",
341,"Closing resultaat S18",
342,"Bijstelling S19",
343,"Disp Garanties Ontvangen S20",
344,"Browse - FIATTERING_LOG",
345,"Browse - WERKBESTAND",
346,"Browse - GELD_WERKBESTAND",
