Program ISN,Program #,Task,Name,Operation #,Table #,Field #,Field Name
41,,".1.2.1.3","Write Holder Adres",10,Comp.,0,"PC.EPPIM_KLANT."
41,,".1.2.1.3","Write Holder Adres",11,Comp.,0,"PC.EPPIM_KLANT."
41,,".1.2.1.3","Write Holder Adres",16,Comp.,1,"D2.LANDEN.IPS_RELATIENUMMER"
41,,".1.2.1.3","Write Holder Adres",5,Comp.,0,"PC.EPPIM_KLANT."
41,,".1.2.1.3","Write Holder Adres",6,Comp.,0,"PC.EPPIM_KLANT."
41,,".1.2.1.3","Write Holder Adres",7,Comp.,0,"PC.EPPIM_KLANT."
41,,".1.2.1.3","Write Holder Adres",8,Comp.,0,"PC.EPPIM_KLANT."
41,,".1.2.1.3","Write Holder Adres",9,Comp.,0,"PC.EPPIM_KLANT."
41,,".1.3.1.3","Write Holder Adres",10,Comp.,0,"PC.EPPIM_KLANT."
41,,".1.3.1.3","Write Holder Adres",11,Comp.,0,"PC.EPPIM_KLANT."
41,,".1.3.1.3","Write Holder Adres",16,Comp.,1,"D2.LANDEN.IPS_RELATIENUMMER"
41,,".1.3.1.3","Write Holder Adres",5,Comp.,0,"PC.EPPIM_KLANT."
41,,".1.3.1.3","Write Holder Adres",6,Comp.,0,"PC.EPPIM_KLANT."
41,,".1.3.1.3","Write Holder Adres",7,Comp.,0,"PC.EPPIM_KLANT."
41,,".1.3.1.3","Write Holder Adres",8,Comp.,0,"PC.EPPIM_KLANT."
41,,".1.3.1.3","Write Holder Adres",9,Comp.,0,"PC.EPPIM_KLANT."
41,,".1.4","Bijwerken Parties",33,Comp.,0,"PC.EPPIM_KLANT."
41,,".1.4","Bijwerken Parties",38,Comp.,0,"PC.EPPIM_KLANT."
