Program ISN,Program #,Task,Name,Operation #,Table #,Field #,Field Name
38,,".1.1.1","WEB Users gegevens",12,Comp.,10,"D5.EOR_EN_OF_RELATIEGEGEVENS.Unknown"
38,,".1.1.1","WEB Users gegevens",13,Comp.,11,"D5.EOR_EN_OF_RELATIEGEGEVENS.Unknown"
38,,".1.1.1","WEB Users gegevens",14,Comp.,12,"D5.EOR_EN_OF_RELATIEGEGEVENS.Unknown"
38,,".1.1.1","WEB Users gegevens",15,Comp.,13,"D5.EOR_EN_OF_RELATIEGEGEVENS.Unknown"
38,,".1.1.1","WEB Users gegevens",16,Comp.,14,"D5.EOR_EN_OF_RELATIEGEGEVENS.Unknown"
38,,".1.1.1","WEB Users gegevens",122,Comp.,5,"D1.IB_WEBUSER_PASSWORDS.Unknown"
38,,".1.1.1","WEB Users gegevens",138,Comp.,1,"D5.REKENINGEN.Unknown"
49,,".1.1.1.1","Write EIB",19,Comp.,10,"D5.EOR_EN_OF_RELATIEGEGEVENS.Unknown"
49,,".1.1.1.1","Write EIB",20,Comp.,11,"D5.EOR_EN_OF_RELATIEGEGEVENS.Unknown"
49,,".1.1.1.1","Write EIB",21,Comp.,12,"D5.EOR_EN_OF_RELATIEGEGEVENS.Unknown"
49,,".1.1.1.1","Write EIB",22,Comp.,13,"D5.EOR_EN_OF_RELATIEGEGEVENS.Unknown"
49,,".1.1.1.1","Write EIB",23,Comp.,14,"D5.EOR_EN_OF_RELATIEGEGEVENS.Unknown"
49,,".1.1.1.1","Write EIB",54,Comp.,1,"D5.REKENINGEN.Unknown"
41,,"","WEB User Gener Pas UID",12,Comp.,10,"LC.LC_AUTHORIZATION_SETTINGS.Unknown"
41,,".1.1","WEB Users gegevens Pas",25,Comp.,9,"D1.WWWUSERS.Unknown"
244,,".1.1","Change",2,Comp.,1,"D1.WWWUSERS.Unknown"
