Program ISN,﻿Program #,Task,Name,Task Level,Operation #,Call Task/Prg,Arg #,Variable
33,,".3","Fiattering order","Record Suffix",14,P# 244,6,"ORD_VERVALDATUM"
33,,".4","Fiattering verz.order (aantal)","Task Suffix",5,P# 244,6,"ORD_VERVALDATUM"
55,,".1","Tonen ordergegevens","Event : E2.EC-Zoom",11,P# 73,16,"ORD_PROVPERCEFFWRD"
55,,".1","Tonen ordergegevens","Event : E2.EC-Zoom",11,P# 73,17,"ORD_PROVKORTING_BV"
55,,".1","Tonen ordergegevens","Event : E2.EC-Zoom",11,P# 73,18,"ORD_PROVKORTINGPERC"
55,,".1","Tonen ordergegevens","Event : E2.EC-Zoom",11,P# 73,21,"ORD_SETTLEKOSTEN_BV"
55,,".1","Tonen ordergegevens","Event : E2.EC-Zoom",11,P# 73,45,"ORD_GEEN_PROVISIE"
57,,"","oa-ob-info ordersuitvoeringen","Record Prefix",10,P# 543,26,"v_Uitv_Trans_valuta_koers"
57,,"","oa-ob-info ordersuitvoeringen","Record Prefix",10,P# 543,28,"v_Uitv_Trans_valuta_factor"
57,,"","oa-ob-info ordersuitvoeringen","Record Prefix",10,P# 543,29,"v_Uitv_Trans_valuta_reciproke"
59,,"","oa-ob-info ordhisdisplay","Event : E2.EC-Zoom",10,P# 73,16,"HORD_PROVPERCEFFWRD"
59,,"","oa-ob-info ordhisdisplay","Event : E2.EC-Zoom",10,P# 73,17,"HORD_PROVKORTING_BV"
59,,"","oa-ob-info ordhisdisplay","Event : E2.EC-Zoom",10,P# 73,18,"HORD_PROVKORTINGPERC"
59,,"","oa-ob-info ordhisdisplay","Event : E2.EC-Zoom",10,P# 73,21,"HORD_SETTLEKOSTEN_BV"
59,,"","oa-ob-info ordhisdisplay","Event : E2.EC-Zoom",10,P# 73,45,"HORD_GEEN_PROVISIE"
66,,".2","Fiatteren","Record Suffix",4,P# 79,37,"ORD_AANTAL"
106,,".5","Process Records RejectedOrder","Record Suffix",3,P# 1241514648,2,"ORO_NUMBER_OF_ORDERLINES"
168,,".3.2.8","BussinesMsgReject","Record Suffix",218,P# 244,6,"ORD_VERVALDATUM_leg1"
168,,".3.2.8","BussinesMsgReject","Record Suffix",40,P# 244,6,"ORD_VERVALDATUM_leg1"
169,,".3.2.7","BussinesMsgReject","Record Suffix",216,P# 244,6,"ORD_VERVALDATUM_leg1"
169,,".3.2.7","BussinesMsgReject","Record Suffix",40,P# 244,6,"ORD_VERVALDATUM_leg1"
221,,"","SRV-TransFromExecution","Event : CheckTransExists",48,T# 3,1,"BAX"
233,,".1","Uitvoeringen","Record Prefix",48,P# 543,26,"v_Ovz_Trans_valuta_koers"
233,,".1","Uitvoeringen","Record Prefix",48,P# 543,28,"v_Ovz_Trans_valuta_factor"
233,,".1","Uitvoeringen","Record Prefix",48,P# 543,29,"v_Ovz_Trans_valuta_reciproke"
233,,".1.3","Onderhoud uitvoering","Event : BerekenenBedragenScherm",288,P# 543,26,"v_Inv_Trans_valuta_krs"
233,,".1.3","Onderhoud uitvoering","Event : BerekenenBedragenScherm",288,P# 543,28,"v_Inv_Trans valuta factor"
233,,".1.3","Onderhoud uitvoering","Event : BerekenenBedragenScherm",288,P# 543,29,"v_Inv_Trans valuta recip"
276,,".4","Kostcomponenten","Task Prefix",2,T# 8,1,"s_Kostencomponent"
289,,".1","Details","Event : RecordsOmhoogOpschuiven",63,T# 4,1,"XF"
310,,".2.2.3.1","Bereken","Record Suffix",12,P# 329,34,"ORM_MUTKOSTEN_BTW_BV"
310,,".2.2.3.1","Bereken","Record Suffix",12,P# 329,35,"ORM_BTW_MUTKOSTEN_BV"
310,,".2.2.3.1","Bereken","Record Suffix",12,P# 329,36,"v_DUMMY_M_Kostencorresp_VV"
310,,".2.2.3.1","Bereken","Record Suffix",12,P# 329,37,"ORM_SETTLEKOSTEN_BV"
310,,".2.2.3.1","Bereken","Record Suffix",12,P# 329,38,"ORM_PROVISIEPS_BV"
310,,".2.2.3.1","Bereken","Record Suffix",13,P# 329,34,"ORM_MUTKOSTEN_BTW_BV"
310,,".2.2.3.1","Bereken","Record Suffix",13,P# 329,35,"ORM_BTW_MUTKOSTEN_BV"
310,,".2.2.3.1","Bereken","Record Suffix",13,P# 329,36,"v_DUMMY_M_Kostencorresp_VV"
310,,".2.2.3.1","Bereken","Record Suffix",13,P# 329,37,"ORM_SETTLEKOSTEN_BV"
310,,".2.2.3.1","Bereken","Record Suffix",13,P# 329,38,"ORM_PROVISIEPS_BV"
310,,".2.2.3.1","Bereken","Record Suffix",4,P# 329,34,"ORM_MUTKOSTEN_BTW_BV"
310,,".2.2.3.1","Bereken","Record Suffix",4,P# 329,35,"ORM_BTW_MUTKOSTEN_BV"
310,,".2.2.3.1","Bereken","Record Suffix",4,P# 329,36,"v_DUMMY_M_Kostencorresp_VV"
310,,".2.2.3.1","Bereken","Record Suffix",4,P# 329,37,"ORM_SETTLEKOSTEN_BV"
310,,".2.2.3.1","Bereken","Record Suffix",4,P# 329,38,"ORM_PROVISIEPS_BV"
310,,".2.2.3.1","Bereken","Record Suffix",9,P# 329,34,"ORM_MUTKOSTEN_BTW_BV"
310,,".2.2.3.1","Bereken","Record Suffix",9,P# 329,35,"ORM_BTW_MUTKOSTEN_BV"
310,,".2.2.3.1","Bereken","Record Suffix",9,P# 329,36,"v_DUMMY_M_Kostencorresp_VV"
310,,".2.2.3.1","Bereken","Record Suffix",9,P# 329,37,"ORM_SETTLEKOSTEN_BV"
310,,".2.2.3.1","Bereken","Record Suffix",9,P# 329,38,"ORM_PROVISIEPS_BV"
455,,".1","Wijzigen met nieuwe prijs","Record Suffix",23,P# 313,29,"WH"
455,,".1","Wijzigen met nieuwe prijs","Record Suffix",23,P# 313,30,"WI"
455,,".1","Wijzigen met nieuwe prijs","Record Suffix",23,P# 313,31,"WJ"
455,,".1","Wijzigen met nieuwe prijs","Record Suffix",20,P# 314,24,"WH"
455,,".1","Wijzigen met nieuwe prijs","Record Suffix",20,P# 314,25,"WI"
455,,".1","Wijzigen met nieuwe prijs","Record Suffix",20,P# 314,26,"WJ"
457,,".1.2","Kopie trans met nieuwe prijs","Record Suffix",23,P# 312,29,"WG"
457,,".1.2","Kopie trans met nieuwe prijs","Record Suffix",23,P# 312,30,"WH"
457,,".1.2","Kopie trans met nieuwe prijs","Record Suffix",23,P# 312,31,"WI"
457,,".1.2","Kopie trans met nieuwe prijs","Record Suffix",23,P# 312,25,"UY"
457,,".1.2","Kopie trans met nieuwe prijs","Record Suffix",23,P# 312,26,"UZ"
457,,".1.2","Kopie trans met nieuwe prijs","Record Suffix",23,P# 312,27,"VA"
1951400636,,"","AuthorizeOrder","Event : AutoriserenOrder",20,P# 79,54,"ORD_AANTAL"
1951400636,,"","AuthorizeOrder","Event : AutoriserenOrder",20,P# 79,37,"ORD_AANTAL 2"
