 Program ISN,﻿Program #,Task,Name,Type
49,,".1.1","RAP-Posities per relatie","Range : NI<>0"
55,,".2","Rapport sort. Fondsnaam","Sort"
58,,".2","RAP-Posities fondscode","Sort"
58,,".1","RAP-Posities per fonds","Sort"
61,,".2","Uitgebreid","Sort"
61,,".3","Alleen Verkort","Sort"
64,,".2","SUB-AfdrukkenNotaverslag","Sort"
71,,".1.1","Afdrukken rapport","Sort"
74,,".2.3.1","Bedragen per rapp.categorie","Sort"
88,,".1","SUB-Afdrukken","Sort"
93,,".1","Doorlopen clienten","Sort"
93,,".1.1","Per relatie afdrukken","Sort"
112,,".1.1","Sort op REFRELATIE","Sort"
112,,".1.2","Sort op BOEKCAT","Sort"
115,,".1","Clientgroepen","Sort"
118,,".1.2","Printen Rapport","Sort"
121,,".1","Afdrukken vervalkalender","Sort"
129,,".1","SUB-Afdrukken","Sort"
131,,".1","Transacties/maand/fonds","Sort"
133,,".1","SUB-Rapportage","Sort"
138,,".4","Doorlopen Termijnrekeningen","Sort"
139,,".2","Doorlopen depot","Sort"
139,,".3","Doorlopen geld posities","Sort"
141,,"","RAPP-Positieoverzicht op fc","Sort"
141,,".4.1","Ophalen aflsuitdatum","Sort"
142,,".1.2","Doorlopen depot","Sort"
142,,".1.3","Doorlopen geldposities","Sort"
158,,".1.1","Branches","Sort"
161,,".2.1","Branches","Sort"
161,,".2.4.1","Verwijderen subniveau","Range : v_Selectie='H' AND IV MOD 100=AC_VOLGNR OR v_Selectie='A'"
166,,".1","Printen modelportefeuille","Sort"
185,,".2","Printen rapport","Sort"
266,,".1","Accounts","Sort"
272,,".1.2","Doorlopen fictief positie","Sort"
278,,".1","Transacties doorlopen","Sort"
280,,".1.1","Mutaties aflopen","Sort"
290,,".1","Transacties","Sort"
292,,".1","SUB-Afdrukken","Sort"
257,,".1","Doorlopen Relatie /Groep","Range : s_port_rend_positie_overboeking_Belastingverdrag OR JP=IZ"
257,,".1","Doorlopen Relatie /Groep","Sort"
254,,".2.1","Bereken marktwaarde posities","Range : LH<>0"
254,,".2.2","Vullen workfile","Range : LI<>0"
254,,".2.3","Print/verw posities_depot","Sort"
245,,".2","Relatie","Sort"
245,,".2.1","FONDS","Sort"
245,,".2.1.1","Calculate cashflow","Sort"
245,,".2.2","FONDSTYPE","Sort"
245,,".2.2.1","Calculate cashflow","Sort"
245,,".2.3","ALLES","Sort"
245,,".2.3.1","Calculate cashflow","Sort"
245,,".3.1","Fonds","Sort"
245,,".3.1.1","Calculate cashflow","Sort"
245,,".4.1","Fonds","Sort"
245,,".4.1.1","Calculate cashflow","Sort"
285,,".1","RAP. Trans Intern 1","Sort"
285,,".10","RAP. Trans Intern 11","Sort"
285,,".11","RAP. Trans Intern 12","Sort"
285,,".12","RAP. Trans Intern 13","Sort"
285,,".2","RAP. Trans Intern 2","Sort"
285,,".3","RAP. Trans Intern 4","Sort"
285,,".4","RAP. Trans Intern 5","Sort"
285,,".5","RAP. Trans Intern 6","Sort"
285,,".6","RAP. Trans Intern 7","Sort"
