ProgramIsn,Tasknum,Taskname,WhereClause
37,".7","Gegevens in range (Alpha)","rownum<=1"
41,".3","Controle positie","AKTUELE_POSITIES_VW.AP_SALDO_POSITIE<>0 AND rownum<=1"
84,".1.15","Legitimaties holder 1 ophalen","rownum<=2"
93,".1.3.1.1","Kinderen relatie/partner ?","(ON_LINE_DOSSIER.ONLD_KLASSE=403 OR ON_LINE_DOSSIER.ONLD_KLASSE=508) AND rownum<=1"
154,".2","Clientgroep aanwezig?","rownum<=1"
205,"","FUNC-Controle OLD recs/Product","ON_LINE_DOSSIER.ONLD_ID_NUMMER<>0 and rownum<=1"
207,".4.1.6","Check Posities","AKTUELE_POSITIES_VW.AP_SALDO_POSITIE<>0 and rownum<=1"
210,".1","Gegevens in range","rownum<=1"
215,".1","Gegevens in range","rownum<=1"
216,".1","Gegevens in range","rownum<=1"
225,".1","Check ranges","rownum<=1"
226,".1","Check Online dossier","rownum<=1"
231,".1","Check ranges","rownum<=1"
232,".1","Check Online dossier","rownum<=1"
237,".1","Check ranges","rownum<=1"
238,".1","Check Online dossier","rownum<=1"
242,".1","Check ranges","rownum<=1"
243,".1","Check Online dossier (54)","rownum<=1"
248,".1","Check ranges","rownum<=1"
254,".1","Check ranges","rownum<=1"
255,".1","Check Online dossier (458 468)","(ON_LINE_DOSSIER.ONLD_KLASSE=458 OR ON_LINE_DOSSIER.ONLD_KLASSE=468) AND ON_LINE_DOSSIER.ONLD_ID_NUMMER=v_Risicoberoep AND rownum<=1"
255,".2","Check Onl.doss. NAW gegevens","ONLD_NAW_GEGEVENS.ONG_RISICOBEROEP=v_Risicoberoep AND rownum<=1"
261,".1","Check ranges","rownum<=1"
262,".1","Check gebruik record","rownum<=1"
266,".1","Check ranges","rownum<=1"
267,".1","Check Online dossier (470)","ON_LINE_DOSSIER.ONLD_KLASSE=470 AND ON_LINE_DOSSIER.ONLD_BEDRAG=v_Risico indicatie AND rownum<=1"
272,".1","Check ranges","rownum<=1"
273,".1","Check Online dossier (470)","ON_LINE_DOSSIER.ONLD_KLASSE=470 AND ON_LINE_DOSSIER.ONLD_ONDERPAND=v_Doel van client AND rownum<=1"
278,".1","Check ranges","rownum<=1"
279,".1","Check Online dossier (80)","ON_LINE_DOSSIER.ONLD_KLASSE=80 AND ON_LINE_DOSSIER.ONLD_BEDRAG=v_Clienttype AND rownum<=1"
283,".1","Check ranges","rownum<=1"
284,".1","Check Online dossier (80)","ON_LINE_DOSSIER.ONLD_KLASSE=80 AND ON_LINE_DOSSIER.ONLD_PERCENTAGE=v_Beleggingshorizon AND rownum<=1"
309,".1","Check ranges","rownum<=1"
339,".1","Gegevens aanwezig","rownum<=1"
340,".1","Beursgegevens aanwezig?","rownum<=1"
340,".2","Gegevens aanwezig?","rownum<=1"
353,".1.1","Provisies Zonder Relatie","INTERMEDIAR_PROVISIES.IP_TRANSACITIEVOLGNR<>0 and NOT (TV_TRANSACTIONS_IN_PROGRESS.TRIP_TR_VOLGNUMMER IS NULL AND TRANSAKTIES.TR_MUT_GEMAAKT='J' OR TRANSAKTIES.TR_MUT_GEMAAKT='S') and rownum <=1"
353,".1.2","Provisies met relatie","INTERMEDIAR_PROVISIES.IP_TRANSACITIEVOLGNR<>0 and NOT(TV_TRANSACTIONS_IN_PROGRESS.TRIP_TR_VOLGNUMMER IS NULL AND TRANSAKTIES.TR_MUT_GEMAAKT='J' OR TRANSAKTIES.TR_MUT_GEMAAKT='S') and (PRODUCTEN_PER_RELATIE.PPR_INTERMEDIAIR_1=pi-_Intermediair_oud or PRODUCTEN_PER_RELATIE.PPR_INTERMEDIAIR_2=pi-_Intermediair_oud) and rownum <=1"
366,".1","Check ranges","rownum<=1"
377,".1","Controle selectie","rownum <=1"
378,".1","Controle selectie","rownum <=1"
406,".1.1.1.2.1","Controleer Transacties","rownum<=1"
406,".1.1.2.1.1","Controle Transacties","rownum<=1"
444,".1","Geldposities","rownum<=1"
444,".2","Emissies Rel2","((EMISSIES.EMI_REL2_DEPOTREK=pi-_Rekeningnr AND EMISSIES.EMI_REL2_DEPOTREKSRT=pi-_RekSoort AND pi-_RekSoort<1000) OR (EMISSIES.EMI_REL2_GELDREK=pi-_Rekeningnr AND EMISSIES.EMI_REL2_GELDREKSRT=pi-_RekSoort AND EMISSIES.EMI_REL2_GELDREKVAL=pi-_Muntsoort AND pi-_RekSoort>=1000)) AND rownum<=1"
444,".3","PosMutTransdatum","rownum<=1"
444,".4","Vruchtgebruik","rownum<=1"
444,".5","Orders Relatie","((ORDERS.ORD_DEPOT=pi-_Rekeningnr AND ORDERS.ORD_DEPOTREKSRT=pi-_RekSoort AND pi-_RekSoort<1000) OR (ORDERS.ORD_GELDREKENING=pi-_Rekeningnr AND ORDERS.ORD_GELDREKREKSRT=pi-_RekSoort AND ORDERS.ORD_GELDREKVALUTA=pi-_Muntsoort AND pi-_RekSoort>=1000)) AND rownum<=1"
444,".6","Orders VIA Relatie","((ORDERS.ORD_VIADEPOT=pi-_Rekeningnr AND ORDERS.ORD_VIADEPOTREKSRT=pi-_RekSoort AND pi-_RekSoort<1000) OR (ORDERS.ORD_VIAGELDREKENING=pi-_Rekeningnr AND ORDERS.ORD_VIAGELDREKREKSRT=pi-_RekSoort AND ORDERS.ORD_VIAGELDREKVALUTA=pi-_Muntsoort AND pi-_RekSoort>=1000)) AND rownum<=1"
444,".7","OrdersDetaillering","((ORDERSDETAILLERING.ORX_DEPOT=pi-_Rekeningnr AND ORDERSDETAILLERING.ORX_DEPOTREKSOORT=pi-_RekSoort AND pi-_RekSoort<1000) OR (ORDERSDETAILLERING.ORX_GELDREKENING=pi-_Rekeningnr AND ORDERSDETAILLERING.ORX_GELDREKREKSOORT=pi-_RekSoort AND ORDERSDETAILLERING.ORX_GELDREKVALUTA=pi-_Muntsoort  AND pi-_RekSoort>=1000)) AND rownum<=1"
444,".8","HistOrders Relatie","((ORDHISORDERS.HORD_DEPOT=pi-_Rekeningnr AND ORDHISORDERS.HORD_VIAGLDREKREKSRT=pi-_RekSoort AND pi-_RekSoort<1000) OR (ORDHISORDERS.HORD_GELDREKENING=pi-_Rekeningnr AND ORDHISORDERS.HORD_PROVKORTINGPERC=pi-_RekSoort AND ORDHISORDERS.HORD_GELDREKVALUTA=pi-_Muntsoort AND pi-_RekSoort>=1000)) AND rownum<=1"
444,".9","HistOrders VIA Relatie","((ORDHISORDERS.HORD_VIADEPOT=pi-_Rekeningnr AND ORDHISORDERS.HORD_VIADEPOTREKSRT=pi-_RekSoort AND pi-_RekSoort<1000) OR (ORDHISORDERS.HORD_VIAGELDREKENING=pi-_Rekeningnr AND ORDHISORDERS.HORD_VIAGLDREKREKSRT=pi-_RekSoort AND ORDHISORDERS.HORD_VIAGELDREKVAL=pi-_Muntsoort AND pi-_RekSoort>=1000)) AND rownum<=1"
