Program ISN,﻿Program #,Task,Name,Task Level,Operation #,Call Task/Prg,Arg #,Variable
1,,"","Main Program","Event : E5P.E5_GetIntendedAccount",187,P# 1500513534,9,"pi-_RekeningStatus"
1,,"","Main Program","Event : E5P.E5_GetIntendedAccount2",221,P# 1500513534,9,"pi-_RekeningStatus"
1,,"","Main Program","Event : E5P.E5_GetIntendedDefaultAccContnr",206,P# 1500513534,9,"pi-_RekeningStatus"
1,,"","Main Program","Event : E5P.E5_GetIntendedInvestmAccContnr",240,P# 1500513534,9,"pi-_RekeningStatus"
1,,"","Main Program","Event : E5P.E5_GetIntendedInvestmAccContnr",241,P# 1500513534,9,"pi-_RekeningStatus"
1,,"","Main Program","Event : E5P.E5_updateInvestmentPlan",1270,P# 962,11,"pi-_FirstDepositMonth"
1,,"","Main Program","Event : E5P.E5_updateInvestmentPlan",1270,P# 962,5,"pi-_Frequency"
1,,"","Main Program","Event : E5P.E5_updateInvestmentPlan",1270,P# 962,6,"pi-_DepositDay"
1,,"","Main Program","Event : E5P.E5_updateInvestmentPlan",1270,P# 962,7,"pi-_Amount"
144,,".3","Geldrekening","Event : E2.EC-Zoom",2,P# 142,3,"BOI"
144,,".2","Stukkenrekening","Event : E2.EC-Zoom",2,P# 142,6,"BON"
144,,".2","Stukkenrekening","Event : E2.EC-Zoom",2,P# 142,5,"BOM"
144,,".3","Geldrekening","Event : E2.EC-Zoom",2,P# 142,6,"BOL"
144,,".3","Geldrekening","Event : E2.EC-Zoom",2,P# 142,5,"BOK"
144,,".3","Geldrekening","Event : E2.EC-Zoom",2,P# 142,4,"BOJ"
144,,".1","Bewaarplaats","Event : E2.EC-Zoom",2,P# 142,5,"BMY"
144,,".1","Bewaarplaats","Event : E2.EC-Zoom",2,P# 142,4,"BMX"
144,,".1","Bewaarplaats","Event : E2.EC-Zoom",2,P# 142,3,"BMW"
144,,".2","Stukkenrekening","Event : E2.EC-Zoom",2,P# 142,4,"BOL"
144,,".2","Stukkenrekening","Event : E2.EC-Zoom",2,P# 142,3,"BOK"
144,,".1","Bewaarplaats","Event : E2.EC-Zoom",2,P# 142,6,"BMZ"
345,,".1.1","Producten/relatie (transactie)","Record Suffix",13,T# 3,2,"PPR_PRODUCTNUMMER"
407,,"","MNU-UitvoerenConceptwissel","Event : Uitvoeren",62,P# 406,8,"v_relatie_vanaf"
407,,"","MNU-UitvoerenConceptwissel","Event : Uitvoeren",62,P# 406,9,"v_relatie_tm"
475,,".1","Modify/Display Relatie","Event : E2.EC-Zoom",124,P# 484,1,"pi-_ SUB Muteren?"
484,,".1","Maintain ProductFeeSettings","Control  Verification: v_ZoekNaam",11,P# 440,1,"v_ZoekNaam"
493,,"","STAM-Rel. SUB (Producten)","Event : E2.EC-Zoom",125,P# 597,5,"v_Hoofdholdernummer"
493,,"","STAM-Rel. SUB (Producten)","Event : E2.EC-Zoom",138,P# 597,5,"v_Hoofdholdernummer"
497,,"","STAM-Rekening BlokkeringReden","Event : GC.GC_Details",20,T# 497,2,"ID_LIST"
497,,"","STAM-Rekening BlokkeringReden","Event : GC.GC_Edit",23,T# 497,2,"ID_LIST"
505,,".2","Ophalen default rekeningen","Record Suffix",4,P# 1500513534,13
505,,".2","Ophalen default rekeningen","Record Suffix",4,P# 1500513534,14
505,,".4","Product per relatie","Record Suffix",4,P# 1500513534,13,"PPR_PRODUCTNUMMER"
505,,".4","Product per relatie","Record Suffix",4,P# 1500513534,14,"PPR_VOLGNR_PER_PRODUCT"
531,,"","SUB-Aanmaken Intermediair","Record Suffix",72,P# 530,16,"v_Nieuw Auto_Intermediairnr"
546,,"","PR_GET_Default_Accounts","Record Suffix",11,P# 1500513534,13,"pi-_Productnummer"
546,,"","PR_GET_Default_Accounts","Record Suffix",11,P# 1500513534,14,"pi-_Productvolgnummer"
546,,"","PR_GET_Default_Accounts","Record Suffix",9,P# 1500513534,13,"pi-_Productnummer"
546,,"","PR_GET_Default_Accounts","Record Suffix",9,P# 1500513534,14,"pi-_Productvolgnummer"
557,,".2","Maak rekeningen aan","Record Suffix",46,P# 1500513534,13,"PPR_PRODUCTNUMMER"
557,,".2","Maak rekeningen aan","Record Suffix",46,P# 1500513534,14,"PPR_VOLGNR_PER_PRODUCT"
589,,"","EI- RM_UpdatePartyAddress","Record Suffix",77,P# 537,21,"BMH"
602,,"","STAM-Rel. Intermed. Medewerker","Event : CreateRequest",46,T# 4,1,"BOK"
